Index1,Index2,Index3,Index4,Column1_Array,Column2_Array
ces,aceh,scan_o1_lp,original,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.000000,7.000000,
 8.000000]","[8071.346030,4513.223090,2372.920230,1220.605530,627.512546,324.751414,
 168.640343,87.064998,43.834920,20.510134,7.848160,1.054435,-2.480205,
 -4.198626,-4.905075,-5.054924,-4.907139,-4.609604,-4.246473,-3.865026,
 -3.491143,-3.138191,-2.812377,-2.515687,-2.247893,-2.007480,-1.792382,
 -1.600306,-1.428954,-1.276133,-1.139817,-1.018161,-0.909510,-0.812387,
 -0.725485,-0.647646,-0.577853,-0.515204,-0.458910,-0.408274,-0.362679,
 -0.321584,-0.284513,-0.251038,-0.220788,-0.193430,-0.193430,-0.027667,
 0.035373]"
ces,aceh,scan_o1_lp,qm,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000]","[421.327899,316.356896,235.122625,172.339781,124.374087,88.279553,
 61.519119,41.938225,27.771914,17.640104,10.494926,5.541567,2.176904,
 -0.050952,-1.473841,-2.330780,-2.792163,-2.980419,-2.985711,-2.875747,
 -2.700683,-2.495610,-2.282732,-2.074148,-1.875012,-1.686439,-1.507716,
 -1.337679,-1.175443,-1.020752,-0.874060,-0.736412,-0.609164,-0.493629,
 -0.390770,-0.301017,-0.224216,-0.159695,-0.106375,-0.062900,-0.027772,
 0.000545,0.023521,0.042488,0.058586,0.072737]"
ces,aceh,scan_o1_oh,new,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.000000,7.000000,
 8.000000]","[83.338247,51.043804,32.673025,21.735597,14.960381,10.604581,7.707936,
 5.717664,4.307221,3.277878,2.505497,1.911260,1.443555,1.068094,0.761436,
 0.507407,0.294495,0.114348,-0.039199,-0.170815,-0.284104,-0.381899,
 -0.466462,-0.539639,-0.602933,-0.820588,-0.851205,-0.876888,-0.898250,
 -0.915820,-0.930052,-0.941339,-0.950025,-0.956409,-0.960758,-0.963304,
 -0.964254,-0.963793,-0.962077,-0.959259,-0.955466,-0.950814,-0.945406,
 -0.939333,-0.932681,-0.925524,-0.925524,-0.837934,-0.743081]"
ces,aceh,scan_o1_oh,original,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.000000,7.000000,
 8.000000]","[51.790792,31.212482,19.886746,13.273056,9.199934,6.570079,4.797379,
 3.555358,2.654397,1.980198,1.461975,1.054229,0.726907,0.459831,0.238942,
 0.054257,-0.101525,-0.233814,-0.346733,-0.443417,-0.526415,-0.597750,
 -0.659058,-0.711698,-0.756801,-0.795326,-0.828089,-0.855787,-0.879020,
 -0.898313,-0.914122,-0.926848,-0.936841,-0.944412,-0.949835,-0.953352,
 -0.955181,-0.955516,-0.954519,-0.952351,-0.949147,-0.945027,-0.940102,
 -0.934467,-0.928214,-0.921415,-0.921415,-0.836068,-0.742157]"
ces,aceh,scan_o1_oh,qm,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000]","[89.162413,65.343647,48.097061,35.539493,26.341091,19.578539,14.593241,
 10.905486,8.168313,6.131967,4.614458,3.483028,2.641458,2.019004,1.561701,
 1.227108,0.981781,0.800236,0.664283,0.561711,0.483926,0.423804,0.375092,
 0.332736,0.293096,0.253828,0.213688,0.172349,0.130199,0.088109,0.047173,
 0.008471,-0.027107,-0.058951,-0.086765,-0.110539,-0.130503,-0.147060,
 -0.160716,-0.172018,-0.181502,-0.189651,-0.196866,-0.203466,-0.209676,
 -0.215649]"
ces,aceh,scan_o2_120,new,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.000000,7.000000,
 8.000000]","[8854.064720,5051.165960,2699.266660,1406.914050,731.574220,381.581475,
 198.453873,101.123906,48.628957,20.016330,4.380872,-4.075061,-8.506933,
 -10.661390,-11.522938,-11.654558,-11.382132,-10.895716,-10.306674,
 -9.679706,-9.052278,-8.445322,-7.869793,-7.330796,-6.829951,-6.366856,
 -5.939928,-5.546960,-5.185581,-4.853302,-4.547666,-4.266404,-4.007371,
 -3.768555,-3.548171,-3.344567,-3.082088,-2.912757,-2.755907,-2.610418,
 -2.475283,-2.349603,-2.232562,-2.123428,-2.021543,-1.926309,-1.926309,
 -1.242886,-0.856168]"
ces,aceh,scan_o2_120,original,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.000000,7.000000,
 8.000000]","[8985.829650,5131.936280,2736.893160,1419.685840,733.522002,380.158543,
 196.512987,99.292816,47.000052,18.652130,3.296109,-4.903734,-9.117109,
 -11.092191,-11.810206,-11.829237,-11.469871,-10.917352,-10.278696,
 -9.615467,-8.962065,-8.337126,-7.749887,-7.203997,-6.699929,-6.236386,
 -5.811035,-5.421230,-5.064061,-4.736725,-4.436536,-4.161012,-3.907830,
 -3.674888,-3.460308,-3.262361,-3.079505,-2.910358,-2.753675,-2.608340,
 -2.473345,-2.347794,-2.230873,-2.121850,-2.020066,-1.924927,-1.924927,
 -1.242152,-0.855758]"
ces,aceh,scan_o2_120,qm,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000]","[357.770686,261.129060,188.592916,133.493189,91.743722,60.514538,37.534179,
 20.897606,9.043353,0.767323,-4.842443,-8.501363,-10.768223,-12.060532,
 -12.677439,-12.828747,-12.661942,-12.283473,-11.773162,-11.191672,
 -10.583028,-9.976132,-9.387704,-8.826127,-8.294602,-7.793179,-7.320212,
 -6.873595,-6.451665,-6.053595,-5.679314,-5.329175,-5.003557,-4.702566,
 -4.425861,-4.172600,-3.941487,-3.730864,-3.538827,-3.363352,-3.202402,
 -3.054033,-2.916465,-2.788148,-2.667785,-2.554337]"
ces,aceh,scan_o2_180,new,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.000000,7.000000,
 8.000000]","[8835.026790,5035.804960,2686.849600,1396.757400,722.943140,374.098392,
 191.773192,95.050419,42.980465,14.700823,-0.673569,-8.924135,-13.191331,
 -15.209131,-15.954158,-15.983021,-15.617075,-15.043252,-14.370411,
 -13.661965,-12.954161,-12.267298,-11.612062,-10.993420,-10.413018,
 -9.870458,-9.364339,-8.892672,-8.453187,-8.043608,-7.661614,-7.305103,
 -6.972036,-6.660544,-6.368907,-6.095554,-5.823003,-5.581672,-5.354974,
 -5.141739,-4.940938,-4.751617,-4.572929,-4.404093,-4.244381,-4.093165,
 -4.093165,-2.939292,-2.210526]"
ces,aceh,scan_o2_180,original,"[1.500000,1.600000,1.700000,1.800000,1.900000,2.000000,2.100000,2.200000,
 2.300000,2.400000,2.500000,2.600000,2.700000,2.800000,2.900000,3.000000,
 3.100000,3.200000,3.300000,3.400000,3.500000,3.600000,3.700000,3.800000,
 3.900000,4.000000,4.100000,4.200000,4.300000,4.400000,4.500000,4.600000,
 4.700000,4.800000,4.900000,5.000000,5.100000,5.200000,5.300000,5.400000,
 5.500000,5.600000,5.700000,5.800000,5.900000,6.000000,6.000000,7.000000,
 8.000000]","[8983.440340,5132.240660,2738.222110,1421.631590,733.854197,377.967378,
 192.221926,94.025615,41.450240,13.101627,-2.160130,-10.226682,-14.294993,
 -16.126053,-16.705662,-16.592905,-16.108181,-15.435716,-14.681857,
 -13.907072,-13.145230,-12.414556,-11.723841,-11.076580,-10.473161,
 -9.912194,-9.391412,-8.908106,-8.459488,-8.042772,-7.655339,-7.294667,
 -6.958533,-6.644840,-6.351698,-6.077400,-5.820373,-5.579229,-5.352702,
 -5.139624,-4.938966,-4.749777,-4.571211,-4.402488,-4.242880,-4.091760,
 -4.091760,-2.938547,-2.210111]"
