Cost Function Report
================================================================================
Ion       " "Compound  " "Method    " "Sum_Cost_function"
pot         thyb       new        28.8630    
pot         urab       qm         0.0000     
pot         urab       original   215.6070   
pot         urab       new        151.5510   
rub         aceh       qm         0.0000     
rub         aceh       original   61.6340    
rub         aceh       new        57.2590    
rub         acem       qm         0.0000     
rub         acem       original   38.7250    
rub         acem       new        35.2270    
rub         acet       qm         0.0000     
rub         acet       original   97.4840    
rub         acet       new        59.9970    
rub         adeb       qm         0.0000     
rub         adeb       original   19.4460    
rub         adeb       new        15.4650    
rub         benz       qm         0.0000     
rub         benz       original   41.0850    
rub         benz       new        37.7860    
rub         cytb       qm         0.0000     
rub         cytb       original   40.2130    
rub         cytb       new        24.9630    
rub         dmds       qm         0.0000     
rub         dmds       original   67.6770    
rub         dmds       new        50.5900    
rub         dmpl       qm         0.0000     
rub         dmpl       original   786.8820   
rub         dmpl       new        704.1030   
rub         dms        qm         0.0000     
rub         dms        original   55.4390    
rub         dms        new        26.6110    
rub         guab       qm         0.0000     
rub         guab       original   54.4190    
rub         guab       new        43.8010    
rub         imid       qm         0.0000     
rub         imid       original   39.6580    
rub         imid       new        38.8900    
rub         indo       qm         0.0000     
rub         indo       original   7.5480     
rub         indo       new        8.4650     
rub         mam1       qm         0.0000     
rub         mam1       original   13.3660    
rub         mam1       new        12.1680    
rub         mas        qm         0.0000     
rub         mas        original   26.7190    
rub         mas        new        18.4320    
rub         meet       qm         0.0000     
rub         meet       original   48.3300    
rub         meet       new        47.1120    
rub         meoh       qm         0.0000     
rub         meoh       original   40.1600    
rub         meoh       new        39.1730    
rub         mes        qm         0.0000     
rub         mes        original   367.1120   
rub         mes        new        86.9160    
rub         mesh       qm         0.0000     
rub         mesh       original   90.3840    
rub         mesh       new        90.3840    
rub         nma        qm         0.0000     
rub         nma        original   83.5910    
rub         nma        new        69.6400    
rub         phen       qm         0.0000     
rub         phen       original   23.7230    
rub         phen       new        22.8350    
rub         phet       qm         0.0000     
rub         phet       original   81.9730    
rub         phet       new        36.2110    
rub         thyb       qm         0.0000     
rub         thyb       original   31.3600    
rub         thyb       new        27.8810    
rub         urab       qm         0.0000     
rub         urab       original   77.3030    
rub         urab       new        56.9010    
sod         aceh       qm         0.0000     
sod         aceh       original   148.1830   
sod         aceh       new        76.4110    
sod         acem       qm         0.0000     
sod         acem       original   77.1140    
sod         acem       new        39.9110    
sod         acet       qm         0.0000     
sod         acet       original   1159.8180  
sod         acet       new        66.7410    
sod         adeb       qm         0.0000     
sod         adeb       original   27.1110    
sod         adeb       new        22.9660    
sod         benz       qm         0.0000     
sod         benz       original   77.0460    
sod         benz       new        40.7200    
sod         cytb       qm         0.0000     
sod         cytb       original   106.8780   
sod         cytb       new        48.9440    
sod         dmds       qm         0.0000     
sod         dmds       original   134.1570   
sod         dmds       new        87.8000    
sod         dmpl       qm         0.0000     
sod         dmpl       original   1095.1020  
sod         dmpl       new        1067.7920  
sod         dms        qm         0.0000     
sod         dms        original   77.5160    
sod         dms        new        77.5160    
sod         guab       qm         0.0000     
sod         guab       original   156.8590   
sod         guab       new        122.1980   
sod         imid       qm         0.0000     
sod         imid       original   83.8110    
sod         imid       new        54.2800    
sod         indo       qm         0.0000     
sod         indo       original   10.1670    
sod         indo       new        7.1180     
sod         mam1       qm         0.0000     
sod         mam1       original   17.9010    
sod         mam1       new        14.8500    
sod         mas        qm         0.0000     
sod         mas        original   139.5490   
sod         mas        new        68.9560    
sod         meet       qm         0.0000     
sod         meet       original   72.3720    
sod         meet       new        51.9010    
sod         meoh       qm         0.0000     
sod         meoh       original   62.5900    
sod         meoh       new        48.6530    
sod         mes        qm         0.0000     
sod         mes        original   6588.6470  
sod         mes        new        86.3990    
sod         mesh       qm         0.0000     
sod         mesh       original   110.7250   
sod         mesh       new        111.0490   
sod         nma        qm         0.0000     
sod         nma        original   71.3060    
sod         nma        new        77.1120    
sod         phen       qm         0.0000     
sod         phen       original   83.8130    
sod         phen       new        85.2710    
sod         phet       qm         0.0000     
sod         phet       original   725.8170   
sod         phet       new        68.3430    
sod         thyb       qm         0.0000     
sod         thyb       original   34.7050    
sod         thyb       new        32.0270    
sod         urab       qm         0.0000     
sod         urab       original   299.4600   
sod         urab       new        218.7830   
